2457388.500000000, A.D. 2016-Jan-01 00:00:00.0000,  2.841555165313506E-01,  1.658248924367604E-01, -1.245296011883873E-02,
2457388.541666667, A.D. 2016-Jan-01 01:00:00.0000,  2.833313809455872E-01,  1.668866131932532E-01, -1.229061811825758E-02,
2457388.583333333, A.D. 2016-Jan-01 02:00:00.0000,  2.825030658279964E-01,  1.679458602040305E-01, -1.212809480169873E-02,
2457388.625000000, A.D. 2016-Jan-01 03:00:00.0000,  2.816705767616972E-01,  1.690026135769443E-01, -1.196539230677812E-02,
2457388.666666667, A.D. 2016-Jan-01 04:00:00.0000,  2.808339194444546E-01,  1.700568534126032E-01, -1.180251278222161E-02,
2457388.708333333, A.D. 2016-Jan-01 05:00:00.0000,  2.799930996890696E-01,  1.711085598051545E-01, -1.163945838783696E-02,
2457388.750000000, A.D. 2016-Jan-01 06:00:00.0000,  2.791481234237645E-01,  1.721577128430725E-01, -1.147623129448472E-02,
2457388.791666667, A.D. 2016-Jan-01 07:00:00.0000,  2.782989966925622E-01,  1.732042926099519E-01, -1.131283368404816E-02,
2457388.833333333, A.D. 2016-Jan-01 08:00:00.0000,  2.774457256556597E-01,  1.742482791853090E-01, -1.114926774940221E-02,
2457388.875000000, A.D. 2016-Jan-01 09:00:00.0000,  2.765883165897964E-01,  1.752896526453879E-01, -1.098553569438119E-02,
2457388.916666667, A.D. 2016-Jan-01 10:00:00.0000,  2.757267758886164E-01,  1.763283930639742E-01, -1.082163973374570E-02,
2457388.958333333, A.D. 2016-Jan-01 11:00:00.0000,  2.748611100630243E-01,  1.773644805132132E-01, -1.065758209314835E-02,
2457389.000000000, A.D. 2016-Jan-01 12:00:00.0000,  2.739913257415357E-01,  1.783978950644357E-01, -1.049336500909845E-02,
2457389.041666667, A.D. 2016-Jan-01 13:00:00.0000,  2.731174296706216E-01,  1.794286167889894E-01, -1.032899072892569E-02,
2457389.083333333, A.D. 2016-Jan-01 14:00:00.0000,  2.722394287150456E-01,  1.804566257590760E-01, -1.016446151074263E-02,
2457389.125000000, A.D. 2016-Jan-01 15:00:00.0000,  2.713573298581965E-01,  1.814819020485943E-01, -9.999779623406351E-03,
2457389.166666667, A.D. 2016-Jan-01 16:00:00.0000,  2.704711402024124E-01,  1.825044257339903E-01, -9.834947346478736E-03,
2457389.208333333, A.D. 2016-Jan-01 17:00:00.0000,  2.695808669693002E-01,  1.835241768951118E-01, -9.669966970186005E-03,
2457389.250000000, A.D. 2016-Jan-01 18:00:00.0000,  2.686865175000476E-01,  1.845411356160697E-01, -9.504840795376814E-03,
2457389.291666667, A.D. 2016-Jan-01 19:00:00.0000,  2.677880992557284E-01,  1.855552819861047E-01, -9.339571133479560E-03,
2457389.333333333, A.D. 2016-Jan-01 20:00:00.0000,  2.668856198176013E-01,  1.865665961004606E-01, -9.174160306458456E-03,
2457389.375000000, A.D. 2016-Jan-01 21:00:00.0000,  2.659790868874014E-01,  1.875750580612617E-01, -9.008610646768462E-03,
2457389.416666667, A.D. 2016-Jan-01 22:00:00.0000,  2.650685082876255E-01,  1.885806479783978E-01, -8.842924497309317E-03,
2457389.458333333, A.D. 2016-Jan-01 23:00:00.0000,  2.641538919618096E-01,  1.895833459704130E-01, -8.677104211378184E-03,
2457389.500000000, A.D. 2016-Jan-02 00:00:00.0000,  2.632352459747998E-01,  1.905831321654017E-01, -8.511152152621455E-03,
2457389.541666667, A.D. 2016-Jan-02 01:00:00.0000,  2.623125785130154E-01,  1.915799867019083E-01, -8.345070694985251E-03,
2457389.583333333, A.D. 2016-Jan-02 02:00:00.0000,  2.613858978847050E-01,  1.925738897298344E-01, -8.178862222664908E-03,
2457389.625000000, A.D. 2016-Jan-02 03:00:00.0000,  2.604552125201955E-01,  1.935648214113492E-01, -8.012529130053278E-03,
2457389.666666667, A.D. 2016-Jan-02 04:00:00.0000,  2.595205309721330E-01,  1.945527619218070E-01, -7.846073821688022E-03,
2457389.708333333, A.D. 2016-Jan-02 05:00:00.0000,  2.585818619157160E-01,  1.955376914506688E-01, -7.679498712197632E-03,
2457389.750000000, A.D. 2016-Jan-02 06:00:00.0000,  2.576392141489219E-01,  1.965195902024296E-01, -7.512806226246362E-03,
2457389.791666667, A.D. 2016-Jan-02 07:00:00.0000,  2.566925965927244E-01,  1.974984383975507E-01, -7.345998798478165E-03,
2457389.833333333, A.D. 2016-Jan-02 08:00:00.0000,  2.557420182913042E-01,  1.984742162733970E-01, -7.179078873459271E-03,
2457389.875000000, A.D. 2016-Jan-02 09:00:00.0000,  2.547874884122506E-01,  1.994469040851793E-01, -7.012048905619813E-03,
2457389.916666667, A.D. 2016-Jan-02 10:00:00.0000,  2.538290162467564E-01,  2.004164821069012E-01, -6.844911359194216E-03,
2457389.958333333, A.D. 2016-Jan-02 11:00:00.0000,  2.528666112098030E-01,  2.013829306323115E-01, -6.677668708160492E-03,
2457390.000000000, A.D. 2016-Jan-02 12:00:00.0000,  2.519002828403387E-01,  2.023462299758608E-01, -6.510323436178327E-03,
2457390.041666667, A.D. 2016-Jan-02 13:00:00.0000,  2.509300408014483E-01,  2.033063604736627E-01, -6.342878036526139E-03,
2457390.083333333, A.D. 2016-Jan-02 14:00:00.0000,  2.499558948805134E-01,  2.042633024844600E-01, -6.175335012036842E-03,
2457390.125000000, A.D. 2016-Jan-02 15:00:00.0000,  2.489778549893656E-01,  2.052170363905952E-01, -6.007696875032592E-03,
2457390.166666667, A.D. 2016-Jan-02 16:00:00.0000,  2.479959311644302E-01,  2.061675425989855E-01, -5.839966147258310E-03,
